Number of runs: 200
Individual solver timeout after: 60s
Overall real runtime: 6205.398s
Overall CPU runtime: 6203.069s
Crashes: 4
Solved but misclassified instances: 0
Undecided instances: 95
Solved and correctly classified instances: 101

Crashed instances:
path = inputs/easy100/ANA002-3.p, config = {solver = BadProver, disable_feature_vector_indexing = False}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.048, cpuRuntime = 60.024
path = inputs/easy100/HWV003-1.p, config = {solver = BadProver, disable_feature_vector_indexing = False}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.007, cpuRuntime = 59.986
path = inputs/easy100/SCT004-1.p, config = {solver = BadProver, disable_feature_vector_indexing = False}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.035, cpuRuntime = 60.013
path = inputs/easy100/CAT001-1.p, config = {solver = BadProver, disable_feature_vector_indexing = False}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.058, cpuRuntime = 60.036
path = inputs/easy100/CSR034-10.p, config = {solver = BadProver, disable_feature_vector_indexing = False}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.006, cpuRuntime = 59.988
path = inputs/easy100/BOO002-2.p, config = {solver = BadProver, disable_feature_vector_indexing = False}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.007, cpuRuntime = 59.990
path = inputs/easy100/CAT001-3.p, config = {solver = BadProver, disable_feature_vector_indexing = False}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.035, cpuRuntime = 60.031
path = inputs/easy100/SYO038-1.003.004.p, config = {solver = BadProver, disable_feature_vector_indexing = False}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.008, cpuRuntime = 59.989
path = inputs/easy100/KLE084-10.p, config = {solver = BadProver, disable_feature_vector_indexing = False}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.006, cpuRuntime = 59.998
path = inputs/easy100/SYO038-1.003.003.p, config = {solver = BadProver, disable_feature_vector_indexing = False}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.008, cpuRuntime = 59.988
