Number of runs: 300
Individual solver timeout after: 60s
Overall real runtime: 9381.603s
Overall CPU runtime: 9360.442s
Crashes: 22
Solved but misclassified instances: 0
Undecided instances: 129
Solved and correctly classified instances: 149

Crashed instances:
path = inputs/easy100/NLP007-1.p, config = {solver = BadProver, demodulation_index = none}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = 'c UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.009, cpuRuntime = 60.006
path = inputs/easy100/LCL002-1.p, config = {solver = BadProver, demodulation_index = none}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = 'c UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.020, cpuRuntime = 60.002
path = inputs/easy100/HWC003-1.p, config = {solver = BadProver, demodulation_index = none}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = 'c UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.006, cpuRuntime = 59.988
path = inputs/easy100/SWC002-1.p, config = {solver = BadProver, demodulation_index = none}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = 'c UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.012, cpuRuntime = 60.009
path = inputs/easy100/SCT002-1.p, config = {solver = BadProver, demodulation_index = none}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = 'c UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.022, cpuRuntime = 59.946
path = inputs/easy100/LDA002-1.p, config = {solver = BadProver, demodulation_index = none}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = 'c UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.011, cpuRuntime = 60.002
path = inputs/easy100/GRP001-1.p, config = {solver = BadProver, demodulation_index = none}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = 'c UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.039, cpuRuntime = 60.034
path = inputs/easy100/SWC001-1.p, config = {solver = BadProver, demodulation_index = none}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = 'c UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.010, cpuRuntime = 59.991
path = inputs/easy100/FLD003-1.p, config = {solver = BadProver, demodulation_index = none}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = 'c UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.036, cpuRuntime = 60.025
path = inputs/easy100/HWC002-1.p, config = {solver = BadProver, demodulation_index = none}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = 'c UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.014, cpuRuntime = 59.999
path = inputs/easy100/COL002-1.p, config = {solver = BadProver, demodulation_index = none}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = 'c UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.020, cpuRuntime = 59.995
