Number of runs: 73
Individual solver timeout after: 60s
Overall real runtime: 4322.005s
Overall CPU runtime: 4320.687s
Crashes: 0
Solved but misclassified instances: 0
Undecided instances: 72
Solved and correctly classified instances: 1

Undecided instances (out of time or other constrained resources):
path = inputs/CASC17/PEQ/GRP052-1.p, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = 'Test nix, clang and cmake \nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.009, cpuRuntime = 59.970
path = inputs/CASC17/PEQ/LAT015-1.p, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = 'Test nix, clang and cmake \nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.020, cpuRuntime = 59.991
path = inputs/CASC17/PEQ/COL080-1.p, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = 'Test nix, clang and cmake \nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.007, cpuRuntime = 59.992
path = inputs/CASC17/PEQ/BOO020-1.p, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = 'Test nix, clang and cmake \nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.008, cpuRuntime = 60.000
path = inputs/CASC17/PEQ/COL077-1.p, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = 'Test nix, clang and cmake \nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.010, cpuRuntime = 59.997
path = inputs/CASC17/PEQ/GRP057-1.p, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = 'Test nix, clang and cmake \nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.008, cpuRuntime = 59.985
path = inputs/CASC17/PEQ/COL078-1.p, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = 'Test nix, clang and cmake \nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.010, cpuRuntime = 60.006

Solved and correctly classified instances (sorted in descending CPU runtime order):
path = inputs/CASC17/NEQ/CAT005-3.p, target = Target.UNSAT, result = Result.UNSAT, returnCode = 20, stdout = 'Test nix, clang and cmake \nc UNSATISFIABLE\n', stderr = '', realRuntime = 0.736, cpuRuntime = 0.736
